workload_id,stage_workload,candidate_class,angle_deg,frame_class,rtl_top,tile_w,tile_h,set_num,way_num,merge_max_x,fifo_depth,lead_pixels,runtime_lead_pixels,runtime_merge_max_x_eff,runtime_merge_min_x,runtime_fifo_depth_eff,runtime_fifo_age_limit,runtime_prefetch_throttle_cycles,runtime_scheduler_policy,score
cal256_r90_default,cal256_r90,default,90,cal256,tb_image_geo_top_perf_single_cal256_rotate90_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,66
cal256_r90_model_top1,cal256_r90,model_top1,90,cal256,tb_image_geo_top_perf_single_cal256_rotate90_on,16,16,32,2,4,16,16,16,4,1,16,0,0,0,67
cal256_r90_model_top2,cal256_r90,model_top2,90,cal256,tb_image_geo_top_perf_single_cal256_rotate90_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,68
cal256_r90_policy1_merge_min_age,cal256_r90,policy1_merge_min_age,90,cal256,tb_image_geo_top_perf_single_cal256_rotate90_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,69
cal256_r90_policy2_throttle,cal256_r90,policy2_throttle,90,cal256,tb_image_geo_top_perf_single_cal256_rotate90_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,70
cal256_r90_sanity_bad,cal256_r90,sanity_bad,90,cal256,tb_image_geo_top_perf_single_cal256_rotate90_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,71
proxy512_r0_default,proxy512_r0,default,0,proxy512,tb_image_geo_top_perf_single_proxy512_rotate0_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,72
proxy512_r0_model_top1,proxy512_r0,model_top1,0,proxy512,tb_image_geo_top_perf_single_proxy512_rotate0_on,16,16,32,2,4,16,16,16,4,1,16,0,0,0,73
proxy512_r0_model_top2,proxy512_r0,model_top2,0,proxy512,tb_image_geo_top_perf_single_proxy512_rotate0_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,74
proxy512_r0_policy1_merge_min_age,proxy512_r0,policy1_merge_min_age,0,proxy512,tb_image_geo_top_perf_single_proxy512_rotate0_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,75
proxy512_r0_policy2_throttle,proxy512_r0,policy2_throttle,0,proxy512,tb_image_geo_top_perf_single_proxy512_rotate0_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,76
proxy512_r0_sanity_bad,proxy512_r0,sanity_bad,0,proxy512,tb_image_geo_top_perf_single_proxy512_rotate0_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,77
proxy512_r45_default,proxy512_r45,default,45,proxy512,tb_image_geo_top_perf_single_proxy512_rotate45_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,78
proxy512_r45_model_top1,proxy512_r45,model_top1,45,proxy512,tb_image_geo_top_perf_single_proxy512_rotate45_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,79
proxy512_r45_model_top2,proxy512_r45,model_top2,45,proxy512,tb_image_geo_top_perf_single_proxy512_rotate45_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,80
proxy512_r45_policy1_merge_min_age,proxy512_r45,policy1_merge_min_age,45,proxy512,tb_image_geo_top_perf_single_proxy512_rotate45_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,81
proxy512_r45_policy2_throttle,proxy512_r45,policy2_throttle,45,proxy512,tb_image_geo_top_perf_single_proxy512_rotate45_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,82
proxy512_r45_sanity_bad,proxy512_r45,sanity_bad,45,proxy512,tb_image_geo_top_perf_single_proxy512_rotate45_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,83
proxy512_r75_default,proxy512_r75,default,75,proxy512,tb_image_geo_top_perf_single_proxy512_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,84
proxy512_r75_model_top1,proxy512_r75,model_top1,75,proxy512,tb_image_geo_top_perf_single_proxy512_rotate75_on,16,8,32,2,4,16,64,64,4,1,16,0,0,0,85
proxy512_r75_model_top2,proxy512_r75,model_top2,75,proxy512,tb_image_geo_top_perf_single_proxy512_rotate75_on,16,16,32,2,4,16,64,64,4,1,16,0,0,0,86
proxy512_r75_policy1_merge_min_age,proxy512_r75,policy1_merge_min_age,75,proxy512,tb_image_geo_top_perf_single_proxy512_rotate75_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,87
proxy512_r75_policy2_throttle,proxy512_r75,policy2_throttle,75,proxy512,tb_image_geo_top_perf_single_proxy512_rotate75_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,88
proxy512_r75_sanity_bad,proxy512_r75,sanity_bad,75,proxy512,tb_image_geo_top_perf_single_proxy512_rotate75_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,89
proxy512_r90_default,proxy512_r90,default,90,proxy512,tb_image_geo_top_perf_single_proxy512_rotate90_on,8,8,16,2,2,8,16,16,2,1,8,0,0,0,90
proxy512_r90_model_top1,proxy512_r90,model_top1,90,proxy512,tb_image_geo_top_perf_single_proxy512_rotate90_on,16,16,32,2,4,16,16,16,4,1,16,0,0,0,91
proxy512_r90_model_top2,proxy512_r90,model_top2,90,proxy512,tb_image_geo_top_perf_single_proxy512_rotate90_on,8,8,32,2,4,16,64,64,4,1,16,0,0,0,92
proxy512_r90_policy1_merge_min_age,proxy512_r90,policy1_merge_min_age,90,proxy512,tb_image_geo_top_perf_single_proxy512_rotate90_on,8,8,16,2,2,8,16,16,2,4,8,200,0,1,93
proxy512_r90_policy2_throttle,proxy512_r90,policy2_throttle,90,proxy512,tb_image_geo_top_perf_single_proxy512_rotate90_on,8,8,16,2,2,8,16,16,2,1,8,0,64,2,94
proxy512_r90_sanity_bad,proxy512_r90,sanity_bad,90,proxy512,tb_image_geo_top_perf_single_proxy512_rotate90_on,32,16,16,2,1,8,512,512,1,1,8,0,0,0,95
